unwanted_reactions
reaction_intercepted_product_preparation_error
reaction_complication_of_device_insertion
reaction_syringe_issue
reaction_drug_abuse
reaction_product_use_complaint
reaction_treatment_failure
reaction_intentional_overdose
reaction_underdose
reaction_device_difficult_to_use
reaction_no_adverse_event
reaction_exposure_via_skin_contact
reaction_accidental_exposure_to_product
reaction_device_leakage
reaction_drug_dose_omission_by_device
reaction_drug_ineffective
reaction_off_label_use
reaction_product_use_in_unapproved_indication
reaction_product_dose_omission_issue
